rank ,         name ,    med   ,  iqr 
----------------------------------------------------
   1 , k_3_0.1_9_accumulo_spectral ,    9900  ,   100 (*              |              ),99.00, 99.00, 99.00, 100.00, 100.00
   2 , k_3_0.25_13_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_7_accumulo_entropic ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_7_accumulo_kd ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.2_13_accumulo_kd ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.01_5_accumulo_kd ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_9_accumulo_pca ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_7_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_9_accumulo_2 ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.2_7_accumulo_kd ,    10000  ,     0 (               |             *),100.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_13_accumulo_entropic ,    9900  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.01_13_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_7_accumulo_kd ,    10000  ,     0 (               |             *),100.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.2_5_accumulo_where ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_11_accumulo_pca ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_7_accumulo_kd ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.01_5_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_13_accumulo_where ,    10000  ,     0 (               |             *),100.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0_13_accumulo_2 ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_11_accumulo_kd ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_7_accumulo_2 ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.01_5_accumulo_2 ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_9_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_13_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_7_accumulo_where ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_13_accumulo_kd ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_11_accumulo_pca ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_9_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_7_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_11_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_7_accumulo_pca ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_5_accumulo_rp ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_5_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_9_accumulo_kd ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.01_7_accumulo_pca ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_7_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_9_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0_7_accumulo_kd ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.2_13_accumulo_2 ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0_11_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_5_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_13_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_7_accumulo_rp ,    10000  ,   100 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_13_accumulo_kd ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0_5_accumulo_2 ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_9_accumulo_pca ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_13_accumulo_2 ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_5_accumulo_where ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_13_accumulo_2 ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.15_11_accumulo_2 ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_7_accumulo_spectral ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.2_7_accumulo_spectral ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.01_9_accumulo_kd ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0_5_accumulo_where ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_13_accumulo_2 ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_7_accumulo_where ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.2_5_accumulo_spectral ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.05_11_accumulo_rp ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0_9_accumulo_pca ,    10000  ,     0 (               |             *),100.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_11_accumulo_kd ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_5_accumulo_kd ,    10000  ,     0 (---------------|-------------*),99.00, 100.00, 100.00, 100.00, 100.00
   2 , k_3_0.1_9_accumulo_pca ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.25_11_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
   2 , k_3_0.2_9_accumulo_spectral ,    10000  ,   100 (               |             *),99.00, 99.00, 100.00, 100.00, 100.00
